Odcinki pilotażowe (wiosna 1999)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery[1];Reżyseria;Scenariusz
1;Umarł odbiornik, niech żyje odbiornik!;Pewnego dnia Babka psuje telewizor. Ferdek broniąc domu przed złodziejem chce zarobić na nowy telewizor przez Sex-Telefon.;16.03.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Artur Rega
;;;;;Roman Rega
;;;;;Tomasz Kupiński
;;;;;Igor Nurczyński
2;Wiara czyni cuda;Na ścianie u Kiepskich i Paździochów ukazuje się Matka Boska.;23.03.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
3;Kiepscy - zboczeńcy;Edzio rozpuszcza plotkę o zboczeńcu, grasującym w bloku przy ulicy Ćwiartki.;30.03.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Barbara Łuszczyńska
;;;;;
Sezon 1 (1999/2000)[edytuj | edytuj kod];;;;;
;;;;;
Nr;Tytuł;Opis odcinka;Data premiery;Reżyseria;Scenariusz
4;Rekord Guinnessa;Paździoch próbuje pobić rekord Guinnessa w siedzeniu na kiblu. Ferdek i jego rodzina również postanawiają spróbować.;04.09.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
5;Kiepski film;Ferdek i Waldek z sąsiadami chcą zagrać statystów w filmie, reżyserowanym przez samego Stevena Spielberga.;11.09.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
6;Umcia, Umcia;Ferdek zostaje zapłodniony przez kosmitę.;18.09.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
;;;;;Okił Khamidow
7;Kiepski czarnowidz;"Ferdek odkrywa w sobie nadnaturalne zdolności ""czarnowidzenia"" (przewidywania najgorszych wydarzeń) i leczenia bioprądami i za ich za pomocą próbuje zarobić.";25.09.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
8;Kiepskie żarty;"Ferdek chce zarobić poprzez występ w programie ""Warte śmiechu"".";02.10.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
9;Kiepski mózg;Ferdek zauważa, że Babka i Paulinka przeglądają katalogi z trumnami. Postanawia zorganizować tani pochówek dla Babki.;09.10.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
10;Kiepscy mordercy;Ferdek z synem podają Babce płyn na rozwolnienie.;16.10.1999;Okił Khamidow;Aleksander Sobiszewski
11;Gumowy interes;Paździoch sprzedaje wszystkim tajemniczy klej, który klei wszystko. Ferdek zaś postanawia otworzyć firmę produkującą gumowe zabawki.;23.10.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
12;Rolki, czyli total gigant;Ferdek, będąc w stanie nietrzeźwości, obiecuje Marioli, że kupi jej na urodziny rolki. Musi teraz znaleźć jakiś sposób, aby to 'odkręcić'.;30.10.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
13;Kiepscy dają czadu;Kiepscy biorą udział w Festiwalu Piosenki Radosnej Duchem i Ciałem (FPRDiC).;06.11.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
14;Właściciele;Ferdek dostaje list z informacją, że jest właścicielem korytarza. Podobne listy otrzymują jego sąsiedzi.;13.11.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
15;Wal magistra;Wioletta zdradza Edzia z magistrem. Edzio z Waldkiem i Ferdkiem zakładają agencję znieważającą inteligentów.;20.11.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
16;Wio!;Ferdek szuka sposobu na wygraną w Lotto.;27.11.1999;Okił Khamidow;Paweł Kudzia
17;Szkoła rzycia;Ferdek zakłada własną szkołę.;04.12.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
18;Niewidzialna kanalia;Kiepski znajduje rosyjską czapkę niewidkę. Waldek też chce się nią pobawić.;11.12.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
19;Cicha noc;Kiepscy obchodzą Wigilię, w czasie której Mikołaj przynosi niespodziewany prezent z Ameryki.;18.12.1999;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
20;W betonowym kręgu;Boczek, Walduś i Ferdek zakładają klub sportowy.;01.01.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
21;Śnięta królewna;Ferdka nawiedzają krasnale poszukujący księcia dla królewny.;08.01.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
22;Chłopaki okej!;Do Polski wraca brat Ferdka – Stasiek Kiepski. Bracia razem zakładają biznes.;15.01.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
23;Spółdzielnia radiowęzeł;Ferdek z rodziną i sąsiadami zakłada własną stację radiową.;22.01.2000;Okił Khamidow;Michał Kowal
;;;;;Franciszek Loy
24;Złoty gol;Ferdek zakłada własny klub piłkarski.;29.01.2000;Okił Khamidow;Paweł Kudzia
25;Robochłop;Walduś z ojcem kupują robota, który ma zamiast nich sprzątać i wyręczać Halinkę w pracy.;05.02.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
26;Klątwa Tutenchama;Marian i Helena Paździochowie przywożą z Egiptu fragment ciała faraona Tutenchamona II.;12.02.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
27;Kreatura mody;Ferdek zostaje projektantem mody i organizuje pokaz we własnym domu.;19.02.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
28;Gość w dom - nie ma kołaczy;"Do Wrocławia przyjeżdża rodzina Boczka. ""Tymczasowo"" zatrzymują się u Kiepskich.";26.02.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
;;;;;Piotr Kalwas
29;Złote kierpce;Do Kiepskich przyjeżdża rodzina Ferdka ze wsi, aby wziąć udział w Festiwalu Piosenki Ludowej.;04.03.2000;Okił Khamidow;Janusz Sadza
;;;;;Aleksander Sobiszewski
